id,zipcode,Influencer
2815,91307,No
2816,92081,No
2817,92620,No
2818,91016,No
2819,90016,No
2820,93063,No
2821,90006,No
2822,90713,No
2823,95060,No
2824,90302,No
2825,90036,No
2826,91007,No
2827,90212,No
2828,90260,No
2829,93117,Yes
2830,92626,No
2831,93728,No
2832,91307,No
2833,93305,Yes
2834,90059,No
2835,92705,No
2836,91784,No
2837,91761,No
2838,92881,Yes
2839,91103,No
2840,92113,No
2841,91706,No
2842,93611,No
2843,92223,No
2844,93535,Yes
2845,93436,No
2846,93534,No
2847,90005,No
2848,92591,Unknown
2849,92780,No
2850,91202,Yes
2851,92660,No
2852,92395,No
2853,93307,No
2854,90670,No
2855,90003,Yes
2856,93706,No
2857,93619,Yes
2858,93960,No
2859,93004,No
2860,92570,No
2861,92101,Yes
2862,93727,No
2863,92701,No
2864,90222,No
2865,90044,No
2866,91945,No
2867,90813,Yes
2868,90813,No
2869,91324,No
2870,90012,No
2871,90744,No
2872,93552,No
2873,93304,No
2874,90232,No
2875,86314,No
2876,92801,No
2877,92591,No
2878,90046,No
2879,33907,No
2880,85302,No
2881,92123,Yes
2882,91789,No
2883,33316,No
2884,32703,No
2885,33064,No
2886,32909,No
2887,33841,No
2888,34116,No
2889,93550,Yes
2890,92253,No
2891,32174,Yes
2892,90008,Yes
2893,90035,Yes
2894,90733,No
2895,92691,No
2896,89115,Yes
2897,90804,No
2898,90016,No
2899,33426,No
2900,90805,No
2901,85713,No
2902,92886,No
2903,88310,No
2904,32935,No
2905,34286,No
2906,85201,No
2907,33905,No
2908,33880,No
2909,85388,No
2910,33157,No
2911,34771,No
2912,85308,No
2913,92056,No
2914,93306,No
2915,89169,No
2916,85215,No
2917,93021,No
2918,85032,No
2919,34743,No
2920,32780,No
2921,33462,No
2922,34287,No
2923,91801,No
2924,92867,Yes
2925,89148,No
2926,89032,Yes
2927,85043,No
2928,33801,No
2929,95926,No
2930,85013,No
2931,96028,No
2932,93312,No
2933,32776,No
2934,89032,No
2935,89101,No
2936,34465,No
2937,33145,No
2938,91010,No
2939,91766,No
2940,33030,No
2941,33166,No
2942,93454,No
2943,90788,No
2944,95245,No
2945,92376,No
2946,90201,No
2947,90005,No
2948,90660,Yes
2949,90210,No
2950,33169,No
2951,90247,No
2952,90018,No
2953,85035,No
2954,91761,No
2955,92592,No
2956,93534,No
2957,90024,No
2958,91792,No
2959,92887,No
2960,85007,No
2961,85201,No
2962,92101,No
2963,92078,No
2964,90001,Yes
2965,34736,No
2966,33025,No
2967,33311,Yes
2968,91205,No
2969,33127,No
2970,90804,No
2971,33012,No
2972,33016,No
2973,93308,Yes
2974,33025,No
2975,85938,Yes
2976,88346,Yes
2977,90063,No
2978,91767,No
2979,92805,No
2980,33186,No
2981,33145,No
2982,91351,No
2983,90803,No
2984,91403,No
2985,33838,No
2986,33165,No
2987,32129,No
2988,91321,No
2989,93312,No
2990,34747,No
2991,34234,No
2992,32801,No
2993,85201,No
2994,85007,No
2995,85224,No
2996,91745,No
2997,90504,No
2998,92585,No
2999,33880,No
3000,85034,Unknown
3001,93550,No
3002,34446,No
3003,85713,No
3004,34488,No
3005,85009,Yes
3006,90501,No
3007,86314,No
3008,89014,Yes
3009,93727,Unknown
3010,90033,No
3011,93654,Unknown
3012,34114,No
3013,93301,No
3014,86336,No
3015,92530,Yes
3016,92405,No
3017,95928,No
3018,85335,Unknown
3019,32836,No
3020,85747,No
3021,93536,No
3022,33313,No
3023,89117,No
3024,90044,Yes
3025,92335,No
3026,92376,No
3027,33178,No
3028,85210,No
3029,92806,No
